run_id,kernel,load_type,pred_class,latency_ms,timestamp_us
0,vanilla,idle,1,1.750,1783385840530696
1,vanilla,idle,1,1.550,1783385840532657
2,vanilla,idle,1,1.605,1783385840534644
3,vanilla,idle,1,1.541,1783385840536566
4,vanilla,idle,1,1.598,1783385840538525
5,vanilla,idle,4,1.529,1783385840540423
6,vanilla,idle,1,1.598,1783385840542378
7,vanilla,idle,4,1.547,1783385840544293
8,vanilla,idle,1,1.535,1783385840546255
9,vanilla,idle,1,1.550,1783385840548174
10,vanilla,idle,1,1.538,1783385840550067
11,vanilla,idle,4,1.553,1783385840552059
12,vanilla,idle,1,1.533,1783385840553954
13,vanilla,idle,1,1.552,1783385840555932
14,vanilla,idle,1,1.543,1783385840557832
15,vanilla,idle,1,1.595,1783385840559794
16,vanilla,idle,1,1.531,1783385840561727
17,vanilla,idle,1,1.577,1783385840563713
18,vanilla,idle,1,1.536,1783385840565656
19,vanilla,idle,1,1.607,1783385840567633
20,vanilla,idle,4,1.533,1783385840569522
21,vanilla,idle,1,1.576,1783385840571469
22,vanilla,idle,4,1.535,1783385840573369
23,vanilla,idle,4,1.566,1783385840575307
24,vanilla,idle,1,1.548,1783385840577219
25,vanilla,idle,1,1.569,1783385840579147
26,vanilla,idle,1,1.534,1783385840581050
27,vanilla,idle,1,1.591,1783385840583001
28,vanilla,idle,1,1.526,1783385840584905
29,vanilla,idle,1,1.598,1783385840586873
30,vanilla,idle,1,1.531,1783385840588758
31,vanilla,idle,1,1.598,1783385840590726
32,vanilla,idle,4,1.536,1783385840592638
33,vanilla,idle,1,1.599,1783385840594614
34,vanilla,idle,1,1.532,1783385840596524
35,vanilla,idle,1,1.597,1783385840598486
36,vanilla,idle,1,1.536,1783385840600377
37,vanilla,idle,1,1.600,1783385840602344
38,vanilla,idle,1,1.565,1783385840604272
39,vanilla,idle,1,1.523,1783385840606219
40,vanilla,idle,1,1.551,1783385840608138
41,vanilla,idle,1,1.534,1783385840610037
42,vanilla,idle,1,1.553,1783385840612012
43,vanilla,idle,4,1.534,1783385840613942
44,vanilla,idle,1,1.564,1783385840615931
45,vanilla,idle,1,1.549,1783385840617837
46,vanilla,idle,1,1.625,1783385840619830
47,vanilla,idle,1,1.537,1783385840621740
48,vanilla,idle,1,1.593,1783385840623710
49,vanilla,idle,1,1.543,1783385840625623
50,vanilla,idle,1,1.592,1783385840627615
51,vanilla,idle,1,1.529,1783385840629503
52,vanilla,idle,4,1.582,1783385840631456
53,vanilla,idle,4,1.547,1783385840633369
54,vanilla,idle,1,1.573,1783385840635317
55,vanilla,idle,1,1.547,1783385840637225
56,vanilla,idle,1,1.612,1783385840639202
57,vanilla,idle,1,1.535,1783385840641093
58,vanilla,idle,1,1.601,1783385840643057
59,vanilla,idle,1,1.538,1783385840644959
60,vanilla,idle,1,1.609,1783385840646935
61,vanilla,idle,1,1.546,1783385840648851
62,vanilla,idle,1,1.576,1783385840650797
63,vanilla,idle,1,1.522,1783385840652676
64,vanilla,idle,1,1.593,1783385840654647
65,vanilla,idle,1,1.539,1783385840656567
66,vanilla,idle,1,1.593,1783385840658521
67,vanilla,idle,1,1.542,1783385840660431
68,vanilla,idle,1,1.601,1783385840662387
69,vanilla,idle,1,1.551,1783385840664304
70,vanilla,idle,1,1.526,1783385840666248
71,vanilla,idle,1,1.548,1783385840668162
72,vanilla,idle,1,1.530,1783385840670052
73,vanilla,idle,1,1.542,1783385840672026
74,vanilla,idle,1,1.533,1783385840673921
75,vanilla,idle,1,1.542,1783385840675878
76,vanilla,idle,1,1.533,1783385840677781
77,vanilla,idle,1,1.575,1783385840679724
78,vanilla,idle,1,1.535,1783385840681640
79,vanilla,idle,1,1.596,1783385840683609
80,vanilla,idle,1,1.525,1783385840685491
81,vanilla,idle,1,1.562,1783385840687424
82,vanilla,idle,1,1.547,1783385840689339
83,vanilla,idle,1,1.601,1783385840691299
84,vanilla,idle,1,1.540,1783385840693197
85,vanilla,idle,1,1.588,1783385840695137
86,vanilla,idle,1,1.532,1783385840697065
87,vanilla,idle,1,1.605,1783385840699032
88,vanilla,idle,1,1.523,1783385840700933
89,vanilla,idle,1,1.600,1783385840702900
90,vanilla,idle,1,1.532,1783385840704801
91,vanilla,idle,1,1.595,1783385840706750
92,vanilla,idle,1,1.519,1783385840708684
93,vanilla,idle,1,1.610,1783385840710674
94,vanilla,idle,1,1.541,1783385840712586
95,vanilla,idle,1,1.598,1783385840714544
96,vanilla,idle,1,1.528,1783385840716435
97,vanilla,idle,1,1.603,1783385840718396
98,vanilla,idle,1,1.546,1783385840720309
99,vanilla,idle,1,1.543,1783385840722271
0,vanilla,cpu,1,2.867,1783387269686899
1,vanilla,cpu,1,1.769,1783387269689126
2,vanilla,cpu,1,2.708,1783387269692207
3,vanilla,cpu,1,3.069,1783387269695665
4,vanilla,cpu,1,3.229,1783387269699266
5,vanilla,cpu,1,1.990,1783387269701631
6,vanilla,cpu,1,3.272,1783387269705272
7,vanilla,cpu,1,2.209,1783387269707842
8,vanilla,cpu,1,1.718,1783387269709923
9,vanilla,cpu,1,3.065,1783387269713429
10,vanilla,cpu,1,3.117,1783387269716925
11,vanilla,cpu,1,2.432,1783387269719732
12,vanilla,cpu,4,1.819,1783387269721911
13,vanilla,cpu,1,3.199,1783387269725479
14,vanilla,cpu,1,3.200,1783387269729053
15,vanilla,cpu,1,2.341,1783387269731775
16,vanilla,cpu,1,1.835,1783387269734010
17,vanilla,cpu,1,3.008,1783387269737470
18,vanilla,cpu,1,3.221,1783387269741063
19,vanilla,cpu,1,2.327,1783387269743770
20,vanilla,cpu,1,1.866,1783387269746038
21,vanilla,cpu,1,2.996,1783387269749464
22,vanilla,cpu,1,3.138,1783387269752977
23,vanilla,cpu,1,2.733,1783387269756077
24,vanilla,cpu,1,2.875,1783387269759312
25,vanilla,cpu,1,2.916,1783387269762593
26,vanilla,cpu,1,3.113,1783387269766086
27,vanilla,cpu,1,2.357,1783387269768845
28,vanilla,cpu,1,2.095,1783387269771302
29,vanilla,cpu,1,3.119,1783387269774789
30,vanilla,cpu,1,2.785,1783387269777933
31,vanilla,cpu,1,3.088,1783387269781468
32,vanilla,cpu,1,2.026,1783387269783869
33,vanilla,cpu,1,1.708,1783387269785946
34,vanilla,cpu,1,3.177,1783387269789573
35,vanilla,cpu,1,3.118,1783387269793064
36,vanilla,cpu,1,2.262,1783387269795703
37,vanilla,cpu,1,1.914,1783387269797972
38,vanilla,cpu,1,3.148,1783387269801558
39,vanilla,cpu,1,3.201,1783387269805130
40,vanilla,cpu,1,2.264,1783387269807775
41,vanilla,cpu,1,1.754,1783387269809888
42,vanilla,cpu,1,3.212,1783387269813467
43,vanilla,cpu,1,3.127,1783387269816999
44,vanilla,cpu,1,2.243,1783387269819617
45,vanilla,cpu,1,1.690,1783387269821680
46,vanilla,cpu,4,3.080,1783387269825122
47,vanilla,cpu,1,3.380,1783387269828882
48,vanilla,cpu,1,2.360,1783387269831599
49,vanilla,cpu,1,1.699,1783387269833683
50,vanilla,cpu,1,3.029,1783387269837103
51,vanilla,cpu,1,2.990,1783387269840472
52,vanilla,cpu,1,3.064,1783387269843901
53,vanilla,cpu,1,2.856,1783387269847128
54,vanilla,cpu,1,3.026,1783387269850535
55,vanilla,cpu,1,3.031,1783387269853937
56,vanilla,cpu,1,2.005,1783387269856349
57,vanilla,cpu,1,1.759,1783387269858492
58,vanilla,cpu,1,3.105,1783387269861965
59,vanilla,cpu,1,3.277,1783387269865666
60,vanilla,cpu,1,1.982,1783387269868017
61,vanilla,cpu,1,1.901,1783387269870353
62,vanilla,cpu,1,3.103,1783387269873838
63,vanilla,cpu,1,3.221,1783387269877429
